,issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,Security,Performance,Breakage,commit_count,file_count,files
2,92,Bug,Resolved,Fixed,ambari-agent   ,Major,Eric Yang,2011/10/21 19:14:29 +0100,2011/10/21 19:14:29 +0100,Eric Yang,2011/10/21 19:17:12 +0100,0.001886574,0.001886574,Agent should retry heartbeat message  if controller did not receive the heartbeat   ,If the heartbeat was not received correctly by the controller  then it should retry.   ,0.1.0,0.1.0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,
3,103,Improvement,Resolved,Fixed,ambari-server; ambari-web   ,Major,Eric Yang,2011/10/26 19:18:07 +0100,2011/10/26 19:18:07 +0100,Eric Yang,2011/10/26 19:25:26 +0100,0.005081019,0.005081019,Remove agent entities beans from public schema xsd   ,Agent entities beans are located ambari-client: org.apache.ambari.common.rest.entities.agent. Hence  schema xsd generation for public rest api will include agent entities beans. We should move it to org.apache.ambari.common.rest.agent to exclude agent entities to expose to public.   ,0.1.0,0.1.0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,
5,198,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/09 21:55:54 +0100,2012/05/09 21:55:54 +0100,Jitendra Nath Pandey,2012/05/09 23:17:43 +0100,0.05681713,0.05681713,Dependency of templeton on hcat client   ,hcat client should be installed at the templeton server node.   ,0.9.0,0.9.0,0,0,10,1,1,1,1,0,0,0,0,0,1,2,CHANGES.txt;hmc/php/puppet/genmanifest/PuppetClassDependencies.php;
6,199,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/09 22:05:24 +0100,2012/05/09 22:05:24 +0100,Jitendra Nath Pandey,2012/05/09 23:20:11 +0100,0.05193287,0.05193287,Remove import of mysql puppet module from manifest.   ,Remove import of mysql puppet module from manifest because this module is deprecated.   ,0.9.0,0.9.0,0,0,13,1,1,1,1,0,0,0,0,0,1,2,CHANGES.txt;hmc/php/puppet/genmanifest/generateManifest.php;
17,247,Bug,Resolved,Fixed,   ,Major,Varun Kapoor,2012/05/15 02:13:48 +0100,2012/05/15 02:13:48 +0100,Varun Kapoor,2012/06/05 23:47:38 +0100,21.89849537,21.89849537,Replace index.php with clusters.php   ,Like the title says: overwrite index.php with the contents of clusters.php  making sure to add a link to the AddNodesWizard as well.   ,0.9.0,0.9.0,0,2,22,1,1,1,0,0,0,0,0,0,0,0,
18,249,Bug,Resolved,Fixed,   ,Major,Vikram Dixit K,2012/05/15 03:03:35 +0100,2012/05/15 03:03:35 +0100,Vikram Dixit K,2012/05/18 07:06:07 +0100,3.1684259260000003,3.1684259260000003,Uninstall support from UI   ,Uninstall/wipeout support from UI.   ,0.9.0,0.9.0,0,2,4,1,4,2,0,0,0,0,0,0,0,0,
19,252,Bug,Resolved,Fixed,   ,Major,Varun Kapoor,2012/05/15 21:27:32 +0100,2012/05/15 21:27:32 +0100,Varun Kapoor,2012/05/17 20:57:31 +0100,1.9791550930000001,1.9791550930000001,Remove 'Playground' files from HMC   ,There's a bunch of (temporary playground) files that got wrongly committed to the HMC codebase  so this is to remove all of them and get things into a cleaner state (at least on the face of things).   ,0.9.0,0.9.0,0,2,37,1,2,2,0,0,0,0,0,0,0,0,
20,253,Bug,Resolved,Fixed,   ,Major,Ramya Sunil,2012/05/15 21:32:31 +0100,2012/05/15 21:32:31 +0100,Ramya Sunil,2012/05/17 20:58:51 +0100,1.97662037,1.97662037,Support uninstall state in mysql modules   ,Currently  there is no support for uninstall of mysql package.   ,0.9.0,0.9.0,0,1,10,1,2,1,0,0,0,0,0,0,0,0,
21,255,Bug,Resolved,Fixed,   ,Minor,Varun Kapoor,2012/05/15 22:46:46 +0100,2012/05/15 22:46:46 +0100,Varun Kapoor,2012/05/17 20:57:02 +0100,1.923796296,1.923796296,Rename/Relocate files as appropriate   ,There's some images in the html/ directory (that should be in images/)  there's .html files whose extension should be changed to .htmli  and such  that would be nice to clean up.   ,0.9.0,0.9.0,0,2,31,1,2,2,0,0,0,0,0,0,0,0,
29,283,Bug,Resolved,Fixed,   ,Major,Vikram Dixit K,2012/05/17 01:11:44 +0100,2012/05/17 01:11:44 +0100,Vinod Kumar Vavilapalli,2012/05/18 20:37:47 +0100,1.809756944,1.809756944,Fixup review and deploy rendering   ,Currently render of the review and deploy page is messy.   ,0.9.0,0.9.0,0,3,10,1,2,2,0,0,0,0,0,0,0,0,
