,issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,fixingTimeFromCreate,fixingTimeFromAssignment,summary,description,affectVersion,fixVersion,votes,watches,description_words,assingnee_count,comment_count,commentator_count,Surprising,Dormant,Blocker,Security,Performance,Breakage,commit_count,file_count,files
3,42.0,Improvement,Closed,Fixed,Services,Major,Sunitha Kambhampati,2004/10/15 01:26:43 +0100,2004/10/15 01:26:43 +0100,Sunitha Kambhampati,2005/06/05 02:48:28 +0100,233.0567708,233.0567708,When using encryption  do not store the length information about the external key in service.properties   ,When using derby database encryption there is a provision to provide the key to be used for encryption as an external key. In this case the key is not stored in the database for added security. There should not be any useful information about the external key that was used for encrypting the database in the service.properties.Right now  key length is stored in service.properties. This should not be stored in service.properties.   ,10.0.2.0,10.0.2.1,0.0,0.0,70.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,java/engine/org/apache/derby/impl/services/jce/JCECipherFactory.java;
25,198.0,Improvement,Closed,Fixed,Network Server,Minor,Kathey Marsden,2005/04/05 09:11:31 +0100,2005/04/05 09:11:31 +0100,Sunitha Kambhampati,2005/06/01 05:17:25 +0100,56.83743056,56.83743056,Add Support for network Server USRIDONL security   ,Currently Network Server supports only two security mechanisms.User ID and password (usridpwd)User ID and encrypted password (eusridpwd)It would be good to add support for User ID Only security so that it could more closely match the embedded driver and not always require a password.See details of security mechanism implementations in section 4.4.2.1 of DRDA V3 Vol. 1: Distributed Relational Database Architecture http://www.opengroup.org/dbiop/   ,10.1.1.0,10.1.1.0,0.0,0.0,65.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16,java/drda/org/apache/derby/impl/drda/CodePoint.java;java/drda/org/apache/derby/impl/drda/DB2jServerImpl.java;java/drda/org/apache/derby/impl/drda/DRDAConnThread.java;java/drda/org/apache/derby/impl/drda/Database.java;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNet/testSecMec.out;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNetClient/testSecMec.out;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNetClient/testij.out;java/testing/org/apache/derbyTesting/functionTests/master/testij.out;java/testing/org/apache/derbyTesting/functionTests/suites/derbynetmats.runall;java/testing/org/apache/derbyTesting/functionTests/tests/derbynet/copyfiles.ant;java/testing/org/apache/derbyTesting/functionTests/tests/derbynet/dataSourcePermissions_net.java;java/testing/org/apache/derbyTesting/functionTests/tests/derbynet/protocol.tests;java/testing/org/apache/derbyTesting/functionTests/tests/derbynet/testSecMec.java;java/testing/org/apache/derbyTesting/functionTests/tests/derbynet/testSecMec_app.properties;java/testing/org/apache/derbyTesting/functionTests/tests/derbynet/testclientij.sql;java/testing/org/apache/derbyTesting/functionTests/tests/derbynet/testij.sql;
32,233.0,Improvement,Closed,Fixed,Demos/Scripts,Minor,Andrew McIntyre,2005/04/21 09:33:01 +0100,2005/04/21 09:51:43 +0100,Andrew McIntyre,2005/04/29 14:06:12 +0100,8.189710648,8.176724537,Fix copyright notices and other IBM/Cloudscape references in java/demo/*   ,Assigning this issue to 'Documentation' component  as there is not a Demos component.   ,10.0.2.2; 10.1.1.0,10.0.2.2; 10.1.1.0,0.0,0.0,13.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,java/demo/demo.html;java/demo/navbar.html;java/demo/nserverdemo/NetworkServerUtil.java;java/demo/nserverdemo/NsSample.java;java/demo/nserverdemo/NsSampleClientThread.java;java/demo/nserverdemo/SimpleNetworkClientSample.java;java/demo/nserverdemo/SimpleNetworkServerSample.java;java/demo/nserverdemo/nserverdemo.html;java/demo/nserverdemo/readme.html;java/demo/nserverdemo/simpleserversample.html;java/demo/simple/SimpleApp.java;java/demo/simple/example.html;
33,238.0,Bug,Closed,Fixed,Test,Minor,Sunitha Kambhampati,2005/04/27 03:12:15 +0100,2005/04/29 03:22:11 +0100,Myrna van Lunteren,2005/10/06 02:57:42 +0100,161.9898958,159.9829977,Testharness: testEncryptionAlgorithm property is not being picked up correctly for some encryption suites   ,It looks like the encryption.properties - testEncryptionAlgorithm=DESede/CBC/NoPadding is not being picked up for the encryption run of stress.multi test. But the test uses a database with the default encryption algorithm - DES/CBC/NoPadding   ,10.1.1.0,10.2.1.6,0.0,0.0,32.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,java/testing/org/apache/derbyTesting/functionTests/harness/RunList.java;java/testing/org/apache/derbyTesting/functionTests/harness/RunSuite.java;
43,324.0,Bug,Closed,Fixed,Test,Minor,Olav Sandstaa,2005/05/30 23:55:10 +0100,2005/06/02 22:42:35 +0100,Olav Sandstaa,2006/05/13 22:35:23 +0100,347.94459489999997,344.995,AES encryption test fails on Solaris 10   ,The store/aes.sql test on Solaris 10 produces the following diff report:     Start: aes jdk1.4.2_02 2005-05-30 12:13:17 ***206 del&lt; ERROR XJ001: Java exception: 'Wrong keysize: must be equal to 128  192 or 256: java.security.InvalidParameterException'.206a206&gt; ERROR XJ001: Java exception: 'AES key length must be 128  192  or 256 bits: java.security.InvalidParameterException'.Test Failed. End: aes jdk1.4.2_02 2005-05-30 12:14:06 ***    The cause of this problem is that on most OSs  the java.security.InvalidParameterException thrown by the JVM when an invalid encryption key length is requested contains a message with the following text: Wrong keysize: must be equal to 128  192 or 256while on Solaris 10 the message contained in the exception has been changed to: AES key length must be 128  192  or 256 bitsThe reason for this is most likely that a different encryption library is included in Solaris 10 comparedto the other OSs  either as part of the JVM or as a native library.The problem occurs on Solaris 10 running on both x86 and Sparc processors. It occurs both with jdk 1.4 and jdk 1.5.   ,10.1.1.0,10.1.3.1; 10.2.1.6,0.0,0.0,178.0,1.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,java/testing/org/apache/derbyTesting/functionTests/tests/store/aes_sed.properties;
52,385.0,Bug,Closed,Fixed,Network Server,Trivial,Myrna van Lunteren,2005/06/22 04:55:36 +0100,2005/07/01 15:07:32 +0100,Myrna van Lunteren,2005/10/06 08:07:30 +0100,106.1332639,96.70831019,servlet Back to Main Page link points to csnet instead of derbynet   ,The link at the top of the servlet java/drda/org/apache/derby/drda/NetServlet.java links to csnet (because of the static String SERVLET_ADDRESS). However  the servlet address is now derbynet.   ,10.1.1.0,10.1.2.1; 10.2.1.6,0.0,0.0,25.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,java/drda/org/apache/derby/drda/NetServlet.java;
63,485.0,Bug,Closed,Fixed,SQL,Minor,Daniel John Debrunner,2005/08/03 05:31:30 +0100,2005/08/03 05:31:30 +0100,Daniel John Debrunner,2005/09/30 03:26:59 +0100,57.91353009,57.91353009,SecurityException or LinkageException thrown during loading a class from a database jar incorrectly shuts the engine down.   ,In addiing test cases to lang/dcl.test for signed jar files stored in the database I found that if a jar is installed with a tampered class the resulting SecurityException shuts Derby down. Most likely the same would be true for an invalid class hacked into the jar.   ,10.1.2.1; 10.2.1.6,10.1.2.1; 10.2.1.6,0.0,0.0,47.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17,java/engine/org/apache/derby/iapi/services/loader/ClassFactory.java;java/engine/org/apache/derby/iapi/services/loader/ClassInspector.java;java/engine/org/apache/derby/iapi/types/TypeId.java;java/engine/org/apache/derby/impl/services/reflect/DatabaseClasses.java;java/engine/org/apache/derby/impl/services/reflect/ReflectClassesJava2.java;java/engine/org/apache/derby/impl/sql/compile/ColumnDefinitionNode.java;java/engine/org/apache/derby/impl/sql/compile/QueryTreeNode.java;java/engine/org/apache/derby/impl/sql/execute/CreateAliasConstantAction.java;java/testing/org/apache/derbyTesting/functionTests/master/dcl.out;java/testing/org/apache/derbyTesting/functionTests/master/jdk15/dcl.out;java/testing/org/apache/derbyTesting/functionTests/tests/lang/copyfiles.ant;java/testing/org/apache/derbyTesting/functionTests/tests/lang/dcl.sql;java/testing/org/apache/derbyTesting/functionTests/tests/lang/dcl_app.properties;java/testing/org/apache/derbyTesting/functionTests/tests/lang/dcl_emc2.jar;java/testing/org/apache/derbyTesting/functionTests/tests/lang/dcl_emc2l.jar;java/testing/org/apache/derbyTesting/functionTests/tests/lang/dcl_emc2s.jar;java/testing/org/apache/derbyTesting/functionTests/tests/lang/dcl_emc2sm.jar;
79,622.0,Bug,Closed,Fixed,Tools,Minor,Daniel John Debrunner,2005/10/13 23:36:44 +0100,,Unassigned,2006/08/01 06:22:50 +0100,291.2820139,,sysinfo incorrectly requires permission on Derby jar files   ,Running the test derbynet/sysinfo.java requires this permission in derby_tests.policy  in order to read the jar files.permission java.io.FilePermission '${csinfo.codedir}${/}*'  'read'But according to the Java security specs:'Note: code can always read a file from the same directory it's in (or a subdirectory of that directory); it does not need explicit permission to do so.'Probably means a privileged block is required when accessing the contents of the jar files in sysinfo   ,10.2.1.6,10.2.1.6,0.0,0.0,68.0,0.0,11.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,java/tools/org/apache/derby/impl/tools/sysinfo/Main.java;
80,623.0,Bug,Closed,Fixed,Services,Minor,Daniel John Debrunner,2005/10/13 23:41:33 +0100,2006/03/06 21:50:58 +0100,Kristian Waagan,2006/03/17 16:59:26 +0100,154.72075230000002,10.7975463,Derby monitor accesses two system properties without using a privileged block when built sane=true   ,When built with sane=true and testing with the jars these permissions are required to be granted all the way up the stack  currently this means for the tests granting them to the network server jar. permission java.util.PropertyPermission 'derby.monitor.verbose'  'read'; permission java.util.PropertyPermission 'derby.debug.*'  'read';The engine contains code to read system properties using privileged blocks  this should be used by the monitor.   ,10.2.1.6,10.2.1.6,0.0,0.0,60.0,1.0,13.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5,java/engine/org/apache/derby/impl/services/monitor/BaseMonitor.java;java/testing/org/apache/derbyTesting/functionTests/util/derby_tests.policy;java/engine/org/apache/derby/iapi/services/monitor/ModuleFactory.java;java/engine/org/apache/derby/iapi/services/property/PropertyUtil.java;java/engine/org/apache/derby/impl/services/monitor/FileMonitor.java;
86,656.0,Bug,Closed,Fixed,,Major,Daniel John Debrunner,2005/10/28 03:08:40 +0100,2005/10/28 03:08:40 +0100,Daniel John Debrunner,2005/11/02 08:29:48 +0100,5.2230092589999995,5.223009259,SecurityException with accessDeclaredMembers on DatabaseMetaData.getTables.   ,The code to determine the size of a class is using getDeclaredMembers which requires the permission accessDeclaredMembers. Ideally should not require to grant this permission to derby.jar. Need to see whichclass's size was being calculated. The code is not in a priv block which would require granting the permission all the way up the stack.Maybe if the class's declared memebrs can not be accessed and the value can not be pre-calculkated then some estimate could be made. (using public fields?).java.security.AccessControlException: Access denied (java.lang.RuntimePermission accessDeclaredMembers) at java.security.AccessController.checkPermission(AccessController.java:107) at java.lang.SecurityManager.checkPermission(SecurityManager.java:547) at com.ibm.ws.security.core.SecurityManager.checkPermission(SecurityManager.java:188) at java.lang.SecurityManager.checkMemberAccess(SecurityManager.java:1677) at java.lang.Class.checkMemberAccess(Class.java:104) at java.lang.Class.getDeclaredFields(Class.java:508) at org.apache.derby.iapi.services.cache.ClassSize.getSizeCoefficients(Unknown Source) at org.apache.derby.iapi.services.cache.ClassSize.estimateBase(Unknown Source) at org.apache.derby.iapi.store.access.BackingStoreHashtable.&lt;clinit&gt;(Unknown Source) at java.lang.J9VMInternals.initializeImpl(Native Method) at java.lang.J9VMInternals.initialize(J9VMInternals.java:148) at org.apache.derby.impl.sql.execute.HashTableResultSet.openCore(Unknown Source) at org.apache.derby.impl.sql.execute.JoinResultSet.openRight(Unknown Source) at org.apache.derby.impl.sql.execute.JoinResultSet.openCore(Unknown Source) at org.apache.derby.impl.sql.execute.ProjectRestrictResultSet.openCore(Unknown Source) at org.apache.derby.impl.sql.execute.SortResultSet.openCore(Unknown Source) at org.apache.derby.impl.sql.execute.BasicNoPutResultSetImpl.open(Unknown Source) at org.apache.derby.impl.sql.GenericPreparedStatement.execute(Unknown Source) at org.apache.derby.impl.jdbc.EmbedStatement.executeStatement(Unknown Source) at org.apache.derby.impl.jdbc.EmbedPreparedStatement.executeStatement(Unknown Source) at org.apache.derby.impl.jdbc.EmbedPreparedStatement.executeQuery(Unknown Source) at org.apache.derby.impl.jdbc.EmbedDatabaseMetaData.getTables(Unknown Source)   ,10.1.1.0,10.1.2.1; 10.2.1.6,0.0,0.0,143.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,java/engine/org/apache/derby/iapi/store/access/BackingStoreHashtable.java;
