,issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,Security,Performance,Breakage,commit_count,file_count,files
4,81,Improvement,Resolved,Fixed,wicket,Major,Martijn Dashorst,2006/11/16 17:16:56 +0100,,Unassigned,2007/01/05 06:20:40 +0100,49.54425926,,Make debug settings session dependent   ,Currently  the debug settings are global. i.e. everyone gets to see the ajax debug link  or nobody. For production systems it is not acceptable to generate the debug link for all users  but it might be beneficial to quickly see what is going wrong on a site if you can enable the debug link programmatically for a single user.I can imagine that other settings also benefit from this.   ,2.0 branch (discontinued); 1.3.0-beta1,,0,0,68,0,3,2,0,0,0,0,0.0,0,2,3,wicket/src/main/java/wicket/Application.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/Application.java;
8,91,Improvement,Closed,Fixed,wicket,Trivial,Dmitry Kandalov,2006/11/18 13:50:59 +0100,,Unassigned,2006/11/18 21:18:13 +0100,0.310578704,,Russian Application.properties   ,   ,2.0 branch (discontinued); 1.3.0-beta1,,0,0,1,0,2,2,0,0,0,0,0.0,0,2,2,wicket/src/main/java/wicket/Application_ru.properties;wicket/src/main/java/wicket/Application_ru.properties;
9,100,Improvement,Resolved,Fixed,,Major,Eelco Hillenius,2006/11/21 21:54:07 +0100,2006/11/21 21:54:12 +0100,Eelco Hillenius,2006/11/25 22:59:56 +0100,4.045706019,4.045648148,extract IPageMap interface from PageMap   ,If we extract a IPageMap interface from PageMap  it will make it easier for clients to provide wrapped/ proxied implementions and gives them more options for implementing custom ISessionStores.   ,2.0 branch (discontinued); 1.3.0-beta1,2.0 branch (discontinued); 1.3.0-beta1,0,0,29,1,5,1,0,0,0,0,0.0,0,8,68,wicket-examples/src/main/java/wicket/examples/debug/PageMapView.java;wicket-examples/src/main/java/wicket/examples/debug/SessionView.java;wicket-extensions/src/main/java/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/IPageMap.java;wicket/src/main/java/wicket/Page.java;wicket/src/main/java/wicket/PageMap.java;wicket/src/main/java/wicket/RequestCycle.java;wicket/src/main/java/wicket/RestartResponseAtInterceptPageException.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/markup/html/WebPage.java;wicket/src/main/java/wicket/markup/html/link/BookmarkablePageLink.java;wicket/src/main/java/wicket/markup/html/link/ExternalLink.java;wicket/src/main/java/wicket/markup/html/link/InlineFrame.java;wicket/src/main/java/wicket/markup/html/link/InternalFrame.java;wicket/src/main/java/wicket/markup/html/link/Link.java;wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;wicket/src/main/java/wicket/protocol/http/ClientPageSavingSessionStore.java;wicket/src/main/java/wicket/protocol/http/HttpSessionStore.java;wicket/src/main/java/wicket/protocol/http/MockHttpServletRequest.java;wicket/src/main/java/wicket/protocol/http/SecondLevelCacheSessionStore.java;wicket/src/main/java/wicket/protocol/http/WebApplication.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletPage.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletSessionStore.java;wicket/src/main/java/wicket/protocol/http/request/AbstractWebRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/request/urlcompressing/WebURLCompressingCodingStrategy.java;wicket/src/main/java/wicket/session/ISessionStore.java;wicket/src/main/java/wicket/session/pagemap/IPageMapEvictionStrategy.java;wicket/src/main/java/wicket/session/pagemap/LeastRecentlyAccessedEvictionStrategy.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket-extensions/src/main/java/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletPage.java;wicket-examples/src/main/java/wicket/examples/debug/PageMapView.java;wicket-examples/src/main/java/wicket/examples/debug/SessionView.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/util/tester/WicketTester.java;wicket/src/main/java/wicket/AccessStackPageMap.java;wicket/src/main/java/wicket/Component.java;wicket/src/main/java/wicket/IPageMap.java;wicket/src/main/java/wicket/Page.java;wicket/src/main/java/wicket/PageMap.java;wicket/src/main/java/wicket/RequestCycle.java;wicket/src/main/java/wicket/RestartResponseAtInterceptPageException.java;wicket/src/main/java/wicket/Session.java;wicket/src/main/java/wicket/markup/html/WebPage.java;wicket/src/main/java/wicket/markup/html/link/BookmarkablePageLink.java;wicket/src/main/java/wicket/markup/html/link/ExternalLink.java;wicket/src/main/java/wicket/markup/html/link/InlineFrame.java;wicket/src/main/java/wicket/markup/html/link/InternalFrame.java;wicket/src/main/java/wicket/markup/html/link/Link.java;wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;wicket/src/main/java/wicket/protocol/http/HttpSessionStore.java;wicket/src/main/java/wicket/protocol/http/MockHttpServletRequest.java;wicket/src/main/java/wicket/protocol/http/RequestLogger.java;wicket/src/main/java/wicket/protocol/http/SecondLevelCacheSessionStore.java;wicket/src/main/java/wicket/protocol/http/WebApplication.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletRequestTargetResolverStrategy.java;wicket/src/main/java/wicket/protocol/http/portlet/PortletSessionStore.java;wicket/src/main/java/wicket/protocol/http/request/WebRequestCodingStrategy.java;wicket/src/main/java/wicket/protocol/http/request/urlcompressing/WebURLCompressingCodingStrategy.java;wicket/src/main/java/wicket/request/compound/DefaultRequestTargetResolverStrategy.java;wicket/src/main/java/wicket/session/ISessionStore.java;wicket/src/main/java/wicket/session/pagemap/IPageMapEvictionStrategy.java;wicket/src/main/java/wicket/session/pagemap/LeastRecentlyAccessedEvictionStrategy.java;
11,105,Improvement,Resolved,Fixed,wicket,Trivial,Martijn Dashorst,2006/11/23 23:35:25 +0100,2006/12/30 08:02:10 +0100,Igor Vaynberg,2006/12/30 08:02:15 +0100,36.35196759,5.79e-05,Remove RequiredTextField from 2.0   ,To cut down on our API and remove some ultra-convenience stuff  Ipropose to remove RequiredTextField from our API. Requiredness iseasily achieved using 'setRequired(true)'  and therefore removes theneed for a special field.Vote was: 3 binding for removal only in 2.0   ,2.0 branch (discontinued),2.0 branch (discontinued),0,0,39,1,0,0,0,0,0,0,0.0,0,2,2,wicket/src/main/java/wicket/markup/html/form/RequiredTextField.java;wicket/src/test/java/wicket/util/tester/apps_1/CreateBook.java;
16,154,Improvement,Resolved,Fixed,wicket,Major,Tristan Weil,2006/12/08 19:46:47 +0100,2006/12/08 20:22:34 +0100,Eelco Hillenius,2006/12/08 22:01:04 +0100,0.093252315,0.068402778,Access to init parameters through getServletContext.getInitParameter() not working   ,The command WebApplication.get().getServletContext.getInitParameter('param'); always returns null.The init parameters can only be accessed with the WicketFilter class. A getter in the WebApplication class on the wicketFilter field could work. The previous command could then be replaced with:WebApplication.get().getWicketFilter().getFilterConfig().getInitParameter('param');   ,2.0 branch (discontinued),2.0 branch (discontinued); 1.3.0-beta1,0,0,36,1,1,1,0,0,0,0,0.0,0,2,2,wicket/src/main/java/wicket/protocol/http/WebApplication.java;wicket/src/main/java/wicket/protocol/http/WebApplication.java;
18,159,Improvement,Resolved,Fixed,,Major,Eelco Hillenius,2006/12/11 07:27:17 +0100,2006/12/11 07:27:17 +0100,Eelco Hillenius,2006/12/11 07:31:37 +0100,0.0030092590000000002,0.0030092590000000002,Default code for popups should always try to bring the popped up window to the top (focus)   ,The default implementation of popups (the script generated by PopupSettings) should always try to focus on the popped up window.   ,1.2.3,2.0 branch (discontinued); 1.3.0-beta1,0,0,20,1,1,1,0,0,0,0,0.0,0,2,2,wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;
20,171,Improvement,Resolved,Fixed,wicket,Major,Arnout Engelen,2006/12/15 15:34:05 +0100,2006/12/26 23:58:14 +0100,Igor Vaynberg,2006/12/26 23:58:39 +0100,11.35039352,0.00028900000000000003,table background='foo' url prefixing   ,For the src attribute of img tags in the html  the url is automatically prefixed by wicket.It would be nice if that happened for the background property of tables  too.   ,1.2.3,2.0 branch (discontinued); 1.3.0-beta1,0,0,30,1,0,0,0,0,0,0,0.0,0,2,2,wicket/src/main/java/wicket/markup/parser/filter/PrependContextPathHandler.java;wicket/src/main/java/wicket/markup/parser/filter/PrependContextPathHandler.java;
28,255,Bug,Resolved,Fixed,wicket-extensions,Minor,Jan Loose,2007/02/05 14:25:34 +0100,2007/02/05 14:43:27 +0100,Alastair Maw,2007/02/05 14:43:27 +0100,0.012418981,0.0,pallete: ' is missing in HTML   ,Index: Palette.html===================================================================&#8212; Palette.html (revision 503672)+++ Palette.html (working copy)@@ -37 7 +37 7 @@ &lt;td class='buttons'&gt; &lt;button type='button' wicket:id='addButton' class='button add'&gt;&lt;img wicket:id='image' src='add.gif'/&gt;&lt;/button&gt;&lt;br/&gt; &lt;button type='button' wicket:id='removeButton' class='button remove'&gt;&lt;img wicket:id='image' src='remove.gif'/&gt;&lt;/button&gt;&lt;br/&gt; &lt;button type='button' wicket:id='moveUpButton' class button up'&gt;&lt;img wicket:id='image' src='up.gif'/&gt;&lt;/button&gt;&lt;br/&gt;+ &lt;button type='button' wicket:id='moveUpButton' class='button up'&gt;&lt;img wicket:id='image' src='up.gif'/&gt;&lt;/button&gt;&lt;br/&gt; &lt;button type='button' wicket:id='moveDownButton' class='button down'&gt;&lt;img wicket:id='image' src='down.gif'/&gt;&lt;/button&gt;&lt;br/&gt; &lt;/td&gt; &lt;td class='pane selection'&gt;   ,2.0 branch (discontinued); 1.3.0-beta1,2.0 branch (discontinued); 1.3.0-beta1,0,0,55,1,1,1,0,0,0,0,0.0,0,2,2,wicket-extensions/src/main/java/wicket/extensions/markup/html/form/palette/Palette.html;wicket-extensions/src/main/java/wicket/extensions/markup/html/form/palette/Palette.html;
30,277,Bug,Resolved,Fixed,wicket,Major,Andrew Lombardi,2007/02/11 21:00:36 +0100,2007/03/06 14:38:22 +0100,Jean-Baptiste Quenot,2007/03/06 14:41:25 +0100,22.73667824,0.002118056,EmailAddressPatternValidator does not correctly identify TLDs with more than 3 letters   ,The following is already fixed in wicket-1.2  but doesn't seem to have made it into 2.0 yet. The following looks like a valid regex for this:^&#91;_A-Za-z0-9-&#93;(//.&#91;_A-Za-z0-9-&#93;)@&#91;A-Za-z0-9-&#93;(//.&#91;A-Za-z0-9-&#93;)((.&#91;A-Za-z&#93;{2 }){1}$)   ,2.0 branch (discontinued),2.0 branch (discontinued),0,0,33,1,0,0,0,0,0,0,0.0,0,2,4,wicket/src/main/java/wicket/validation/validator/EmailAddressPatternValidator.java;wicket/src/test/java/wicket/validation/validator/EmailValidatorTest.java;wicket/src/main/java/wicket/markup/html/form/validation/EmailAddressPatternValidator.java;wicket/src/test/java/wicket/markup/html/form/validation/EmailValidatorTest.java;
33,301,Improvement,Resolved,Fixed,wicket,Trivial,Jan Bare?,2007/02/20 11:08:43 +0100,2007/04/25 23:59:07 +0100,Jean-Baptiste Quenot,2007/04/25 23:59:07 +0100,64.535,0.0,Translation for Czech language   ,Hi  here is translation of Application properties for Czech language (for wicket-1.2.5)  file name Application_cs.properties.   ,1.2.5,1.3.0-beta2,0,0,15,1,1,1,0,0,0,0,0.0,0,1,1,jdk-1.4/wicket/src/main/java/org/apache/wicket/Application_cs.properties;
